Source;Computational?;Answer;Difficulty;Topic;Problem;Solution
IMO Prelim 2024/1;1;;;N;Find the highest common factor of \(8^8-1\) and \(4^9+1\).;
IMO Prelim 2024/2;1;;;N;Let $n$ be a positive integer less than \(100\) such that the tens digit of \(n^2\) is \(7\). Find the sum of all positive values of \(n\).;
IMO Prelim 2024/3;1;;;A;;
IMO Prelim 2024/4;1;;;A;;
IMO Prelim 2024/5;1;;;G;;
IMO Prelim 2024/6;1;;;G;;
IMO Prelim 2024/7;1;;;G;;
IMO Prelim 2024/8;1;;;G;;
IMO Prelim 2024/9;1;;;C;;
IMO Prelim 2024/10;1;;;C;;
IMO Prelim 2024/11;1;;;G;;
IMO Prelim 2024/12;1;;;A;;
IMO Prelim 2024/13;1;;;A;;
IMO Prelim 2024/14;1;;;N;;
IMO Prelim 2024/15;1;;;A;;
IMO Prelim 2024/16;1;;;G;;
IMO Prelim 2024/17;1;;;C;;
IMO Prelim 2024/18;1;;;G;;
IMO Prelim 2024/19;1;;;C;;
IMO Prelim 2024/20;1;;;N;;
IMO Prelim 2023/1;1;\(449\);;N;Someone extracted \(n\) consecutive digits in the infinite decimal representation of \(\frac{1}{13}\) and found that the sum of the \(n\) digits is equal to \(2023\). Find the value of \(n\).;
IMO Prelim 2023/2;1;\(1799\);;A;Let \(m\) and \(n\) be positive integers such that \(\sqrt{m}+\sqrt{n}=\sqrt{2023}\). Find the greatest possible value of \(m+n\).;
IMO Prelim 2023/3;1;\(362\);;C;There is a \(20\times 20\) table and \(400\) cards printed with the numbers \(1\) to \(400\). The cards are then distributed to the cells of the table so that there is one card in each cell. After that, we put a red sticker on the card in each row with the largest number. Let \(A\) denote the smallest number on the \(20\) cards with red stickers, and \(B\) denote the smallest number on the \(20\) cards with blue stickers. How many different possible values of \(|A-B|\) are there?;
IMO Prelim 2023/4;1;\(24\);;N;A test question reads 'write down three consecutive positive integers not exceeding \(2023\) in ascending order, such that one of them is a multiple of \(6\), another one is a multiple of \(7\) and the remaining one is a multiple of \(8\)'. How many different correct answers are there for this question?;
IMO Prelim 2023/5;1;\(\frac{3\sqrt{2}}{2}\);;G;\(ABCD\) is a square of side length \(1\). \(BC\) is extended to \(E\) and \(DC\) is extended to \(F\) such that \(BE=DF=3\). The circumcircle of \(\triangle AEF\) meets the extensions of \(CB\) and \(CD\) at \(G\) and \(H\) respectively. Find \(GH\).;
IMO Prelim 2023/6;1;\(15\);;N;Let \(n\) be a positive integer such that \(1^3+2^3+\dots+n^3\) is divisible by \(n+3\). Find the greatest possible value of \(n\).;
IMO Prelim 2023/7;1;\(111\sqrt{3}\);;G;In \(\triangle ABC\), \(\angle BAC=150^{\circ}\) and \(BC=74\). \(D\) is a point on \(BC\) such that \(BD=14\) and \(\angle ADB = 60^{\circ}\). Find the area of \(\triangle ABC\).;
IMO Prelim 2023/8;1;\(81\);;A;How many solutions are there to the equation \(\log_3 x = 3\sin(3\pi x)\)?;
IMO Prelim 2023/9;1;\(\frac{1+3\sqrt{5}}{4}\);;A;Find the largest real root to the equation \(\sqrt[3]{x^3+3x^2-4}-x=\sqrt[3]{x^3-3x+2}-1\).;
IMO Prelim 2023/10;1;\(120\);;N;Find the remainder when \(1\times 2\times 3\times 4 + 2\times 3\times 4\times 5 + \dots + 2023\times 2024\times 2025\times 2026\) is divided by \(1000\).;
IMO Prelim 2023/11;1;\(128\);;C;In a school there are \(2023\) students, numbered \(1\) to \(2023\). The teacher met the students one by one in the order of their numbers, and gave a candy to each student except if that would mean three students whose numbers form an arithmetic sequence all got candies. In this way, the teacher would give a candy to students \(1\) and \(2\), but not student \(3\) (as \(1, 2, 3\) form an arithmetic sequence), then to students \(4\) and \(5\), but not to students \(6\) and \(7\) (as both \(4, 5, 6\) and \(1, 4, 7\) are arithmetic sequences), and so on. How many students got candies in the end?;
IMO Prelim 2023/12;1;\(3:1\);;G;\(ABCD\) is a trapezium with \(AD\parallel BC\), \(AD > BC\) and \(AB = CD\). \(P\) is a point on the plane whose distance from \(A, B, C, D\) are \(1, 2, 3, 4\) respectively. Find \(AD:BC\).;
IMO Prelim 2023/13;1;\(48^\circ\);;G;In \(\triangle ABC\), \(AC=\sqrt{3}AB\) and \(BC=2\). \(D\) is a point inside \(\triangle ABC\) such that \(\angle BDC = 90^{\circ}\), \(\angle DAC = 18^{\circ}\) and \(BD = 1\). Find \(\angle DAB\).;
IMO Prelim 2023/14;1;\(14\);;C;In a country there are only four types of coins, of denominations \(74\), \(87\), \(111\) and \(124\) dollars respectively. In how many different ways can one pay exactly \(2023\) dollars using these coins?;
IMO Prelim 2023/15;1;\(32\);;C;There is a \(3\times 3\) table and \(9\) cards printed with the numbers \(-4, -3, -2, -1, 0, 1, 2, 3, 4\). How many ways are there for these cards to be distributed to the cells of the table so that there is one card in each cell, and that the sum of the numbers of the three cards on each row, each column and each of the two diagonals of the table is non-negative?;
IMO Prelim 2023/16;1;\(\frac{29}{128}\);;C;In a team game, \(12\) players stand at the \(12\) vertices of a regular \(12\)-sided polygon. Each player has a red flag and a blue flag, and then randomly put up one flag, all at the same time. If there are four players who put up flags of the same colour and whose positions form a rectangle, the team loses. Otherwise the team wins. What is the probability for the team to win?;
IMO Prelim 2023/17;1;\(1+2\sqrt{2}\);;G;\(ABCD\) is a square. \(P\) is a point inside \(ABCD\) such that \(\angle APD + \angle BPC = 180^{\circ}\) and \(\angle BPC\) is acute. If \(PB = 3\) and \(PC = 4\), find \(BC\).;
IMO Prelim 2023/18;1;\(1326\);;C;In a chess tournament, there were \(n\) contestants and any two of them played at most one game against each other. Each contestant has played exactly \(100\) games. For any two contestants \(A\) and \(B\) who had played against each other, there were exactly \(50\) other participants who have played against both \(A\) and \(B\). On the other hand, for any two contestants \(C\) and \(D\) who had not played against each other, there were exactly \(4\) other participants who have played against both \(C\) and \(D\). Find the value of \(n\).;
IMO Prelim 2023/19;1;\(18\);;C;There are \(20\) students in a class, numbered \(1\) to \(20\). They have taken a test with \(n\) questions. After the test, the teacher tried to pick some students to draft the solutions, and as such it is necessary that the picked students together can solve all questions. The teacher found that this can be only done by choosing all students whose class numbers are even, or all students whose class numbers are multiples of \(5\), or any combination that includes all students from one of the two groups mentioned above. Find the smallest possible value of \(n\).;
IMO Prelim 2023/20;1;\(67473\);;N;Let \(u, v, w\) be positive integers, with \(v\) and \(w\) not exceeding \(2023\), such that \(u-v=2w\) and \((u^2+w^2)(v^2+w^2)\) is divisible by \(289\). How many sets of possible values of \((u, v, w)\) are there?;
IMO Prelim 2022/1;1;\(89\);;A;If \(x^2 + y^2 = \frac{3961xy}{1980}\) where \(x>y>0\), find the value of \(\frac{x+y}{x-y}\);
IMO Prelim 2022/2;1;\(4044\);;A;Let \(a\) and \(b\) be the two roots of the equation \(x^{\frac{4}{3}}-2022^{\frac{2}{3}}+2023 = 0\). If \(p = a+3a^{\frac{1}{3}} b^{\frac{2}{3}}\) and \(q = b+3a^{\frac{2}{3}}b^{\frac{1}{3}}\), find the value of \((p+q)^{\frac{2}{3}}+(p-q)^{\frac{2}{3}})\).;
IMO Prelim 2022/3;1;\(276\);;N;How many pairs of positive integers \( (m, n)\) are there such that \(m^2n=20^{22}\)?;
IMO Prelim 2022/4;1;\(607\);;N;Given that \(22! - 1124000727777\fbox{ㅤㅤㅤ}680000\), where the box contains three missing digits. Write down the missing digits from left to right.;
IMO Prelim 2022/5;1;\(\frac{5\sqrt{39}}{2}\);;G;One edge of a triangular pyramid has length \(6\) while every other edge has length \(5\). Find the volume of the pyramid.;
IMO Prelim 2022/6;1;\(766\);;A;Let \(P,Q,R\) be distinct digits. A positive integer \(n\) is equal to \(\overline{1PQR}\) in base \(8\) and \(\overline{RPQ}\) in base \(11\). Find the value of \(n\) in base \(10\).;
IMO Prelim 2022/7;1;\(2 \times 10^{19}\);;C;A special calculator contains a red button, which counts the number of even digits of an integer. For instance, when the screen shows \(2022\), pressing the red button gives \(4\) since all \(4\) digits of \(2022\) are even. Someone inputs a positive integer \(n\) into the calculator and keeps pressing the red button until \(0\) is displayed on the screen. If \(0\) is displayed after the red button has been pressed four times, find the smallest possible value of \(n\). ;
IMO Prelim 2022/8;1;\(9 + 6\sqrt{3}\);;A;Find the largest real root of the equation \(2x^2 + 6x + 9 = 7x\sqrt{2x+3}\).;
IMO Prelim 2022/9;1;\(\frac{5-2\sqrt{2}}{6}\);;G;\(ABCD\) is a square with side length \(1\). \(P\) and \(Q\) are points on \(AB\) and \(BC\) respectively such that \(BP = BQ = \frac{1}{\sqrt{2}}\). \(N\) is the foot of the perpendicular from \(B\) to \(CP\). Find \(NQ^2\).;
IMO Prelim 2022/10;1;\(10 \sqrt{2}\);;G;In \(\triangle{ABC}\), \(D,E,F\) are points on \(BC, CA\) and \(AB\) respectively such that the line segments \(AD, BE\) and \(CF\) meet at \(G\). If the lengths of \(DG,EG,BG,AG\) and \(CF\) are \(1,2,3,4,5\) respectively, find the area of \(\triangle{ABC}\);
IMO Prelim 2022/11;1;\(\frac{55}{2}\);;A;If \(x^2 - y^2 = \frac{1}{22}\) and \(x \neq 0\), find the greatest possible vaue of \(\frac{1-22xy}{x^2}\).;
IMO Prelim 2022/12;1;\(\frac{16}{9}\);;A;Let \(a,b,c\) be the three roots of the equation \(6x^3 + 5x^2 + 4x + 3 = 0\) and \(S_n = a^n + b^n + c^n\). Find the value of \(S_0 + S_1 + S_2 + \cdots\).;
IMO Prelim 2022/13;1;\(9500\);;C;There are \(50\) rods of lengths \(1,3,5,7,\dots,99\). How many ways are there to pick three of these rods to form a triangle?;
